id,scale,segment,start,end,n,oracle_profitable,oracle_cash,detected,first_trade,days_missed,traded_days,cash_before_first,all_remaining_cash,actual_mask_cash,actual_mask_mean
DD3,0.08,23,2020-05-06,2020-05-25,13,True,933.6649871500254,True,2020-05-25,12,1,840.3570615000231,93.30792565000232,93.30792565000232,0.7042107596226591
DD3,0.08,25,2020-07-09,2020-07-27,12,True,2543.3990402000227,True,2020-07-20,6,6,1974.821716150008,568.5773240500145,568.5773240500145,0.6418748748232458
DD3,0.08,27,2020-08-17,2020-11-02,49,False,-367.6967274499161,True,2020-09-08,15,17,602.8080760000205,-970.5048034499365,-487.861844249973,-0.21834788492242035
DD3,0.08,29,2020-11-10,2020-12-28,34,False,-184.21310444995498,True,2020-11-30,13,16,335.0437442000209,-519.2568486499758,-723.5635955999837,-0.3394010848560408
DD3,0.08,31,2021-01-18,2021-02-05,14,True,1770.255351600024,True,2021-02-02,10,4,1309.6232935500213,460.6320580500026,460.6320580500026,0.8183191334140492
DD3,0.08,33,2021-04-19,2021-07-29,69,True,471.7458796500835,True,2021-05-10,11,39,633.2367653000199,-161.49088564993588,-166.5634589999513,-0.03340117493634677
DD3,0.08,37,2021-12-21,2022-05-24,99,False,-641.8320625998729,True,2022-01-17,17,46,-39.07724729998033,-602.7548152998927,-1251.818299249948,-0.28082233351758895
DD3,0.08,39,2022-08-11,2022-10-10,36,True,232.14771630002963,True,2022-08-31,13,15,-158.58922389998452,390.7369402000142,32.201462250013776,0.0439449723765143
DD3,0.08,47,2023-04-20,2023-05-12,13,True,3484.9765602000234,True,2023-05-08,8,5,3522.237679400019,-37.261119199995576,-37.261119199995576,-0.05265760121056965
DD3,0.08,51,2023-06-19,2023-06-28,5,True,766.847540300015,False,,5,0,766.847540300015,0.0,0.0,
DD3,0.08,53,2023-06-30,2023-07-12,8,True,1711.1463609000123,False,,8,0,1711.1463609000123,0.0,0.0,
DD3,0.08,55,2023-07-14,2023-07-27,9,True,3156.9860684500204,False,,9,0,3156.9860684500204,0.0,0.0,
DD3,0.08,57,2023-08-07,2023-08-18,9,True,2353.687694200021,True,2023-08-11,3,6,1789.8567548000112,563.8309394000099,563.8309394000099,0.4085977463355929
DD3,0.08,59,2023-08-22,2023-09-15,18,True,3077.8165092500462,True,2023-08-28,3,5,1617.883343900004,1459.9331653500415,486.1276734500125,0.5166613808726181
DD3,0.08,61,2023-09-22,2023-10-25,17,True,2343.1885098500334,True,2023-10-18,11,6,2592.149555100028,-248.96104524999424,-248.96104524999424,-0.32254447121059787
DD3,0.08,63,2023-11-15,2023-12-05,14,True,1391.0260818000202,True,2023-12-05,13,1,823.136391300019,567.889690500001,567.889690500001,3.850099596610177
DD3,0.08,65,2023-12-08,2023-12-26,12,True,1388.5534114000163,False,,12,0,1388.5534114000163,0.0,0.0,
DD3,0.08,67,2023-12-29,2024-01-17,12,True,1547.4189745500141,True,2024-01-04,2,10,966.2853826500043,581.13359190001,581.13359190001,0.42200176949428536
DD3,0.08,73,2024-03-19,2024-04-10,14,True,2834.2643573500295,False,,14,0,2834.2643573500295,0.0,0.0,
DD3,0.08,77,2024-05-20,2024-05-31,9,True,3110.6215427000366,False,,9,0,3110.6215427000366,0.0,0.0,
DD3,0.08,79,2024-07-09,2024-09-06,43,True,1241.6788731501324,True,2024-07-19,7,32,978.75462920002,262.9242439501121,-590.0889361498992,-0.14651551485414444
DD3,0.08,81,2024-10-08,2024-10-16,6,True,2989.211856400008,False,,6,0,2989.211856400008,0.0,0.0,
DD3,0.08,83,2024-10-22,2024-11-01,8,True,16.102027000020314,False,,8,0,16.102027000020314,0.0,0.0,
