id,direction,window,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters,episodes,delete5_pct,delete5_cash,double_slip_pct,double_slip_cash,matched_n,excluded_n,matched_open_pct,matched_open_cash,delayed_pct,delayed_cash,month_ci_low,month_ci_high
DD3_I10,rt,2023,36,-1.340231901650553,-0.44596393888809693,38.88888888888889,-7792.437304699942,0.27696909968094213,0.289554524578874,-9.975888697771572,-7814.146015599945,6,8,-1.9960004444796828,-10236.469205349953,-1.440752818875387,-8383.592609399935,35,1,-1.3499234404146252,-7650.891939149945,-1.1765250632716389,-6922.07383049995,-1.7144404381411498,-1.0602426328583527
DD3_I10,rt,2024,66,-0.8489817727601093,-0.30718121795002756,43.93939393939394,-11833.882145599822,0.39068017196389543,0.37864182289608084,-8.955440431609654,-12612.715570249824,7,13,-1.1407812309378937,-14912.541624599842,-0.9492796326987213,-13186.505091199824,66,0,-0.8489817727601093,-11833.882145599822,-0.6857322553730458,-9616.123779499845,-1.4716643847003683,-0.46624114492386304
DD3_I10,rt,2025,39,-0.17241060357429427,-0.2102840379008831,46.15384615384615,992.6870023491623,0.8377358229830184,1.081351300631214,-12.229427049039757,-6933.116610512944,4,5,-0.8765063743026672,-9744.415659112874,-0.2723735203456839,-186.91737330187755,39,0,-0.17241060357429427,992.6870023491623,-0.14058667348246284,-665.337736567837,-0.7963977237044048,0.2995118582184808
DD3_I10,rt,2026,44,-0.04240176437504076,-0.4391052511779801,45.45454545454545,713.1763175402588,0.9632690033396464,1.0247336241394573,-6.235135426079971,-10432.239120872871,3,4,-0.7280311775008537,-15734.167389359778,-0.14230847190346294,-1791.3063769197026,44,0,-0.04240176437504076,713.1763175402588,-0.051180716652286525,33.95497010422167,-0.5646125376055525,0.3545436171063204
BR10_I10,rt,full_available,541,-0.49693852868535604,-0.411226151324955,40.85027726432532,-60008.013200161804,0.5469211374860645,0.5582993158698379,-12.229427049039757,-62762.54101061092,70,98,-0.5710252483029994,-76928.62012627686,-0.5970197517494115,-70788.24499032483,469,72,-0.4784273662704185,-54091.29322856188,-0.4349529543656668,-52343.70279889291,-0.6969429057213983,-0.31827518235713104
BR10_I10,rt,full_2020,470,-0.47953928260794526,-0.42408335708469275,41.06382978723404,-54232.83859411188,0.5574743246349649,0.5652700429912234,-12.229427049039757,-58487.33454486104,59,81,-0.5579760599605147,-71153.44552022693,-0.5796152640840168,-64094.10427822491,469,1,-0.4784273662704185,-54091.29322856188,-0.4349529543656668,-52343.70279889291,-0.7122840972902649,-0.2933580543115599
BR10_I10,rt,primary,160,-0.6718152139920032,-0.6093850016064775,41.25,-39416.65228691233,0.5236428586962797,0.5496342533393406,-12.229427049039757,-41704.50518936149,21,28,-0.8831724482277423,-56337.259213027384,-0.7720296707261923,-45278.776463825365,160,0,-0.6718152139920032,-39416.65228691233,-0.6021899293257962,-38847.02078314336,-1.070861745384889,-0.3739743728940811
BR10_I10,rt,2020,86,-0.24765001756252622,-0.23880440615834164,46.51162790697674,-2568.661671249857,0.7298464918881201,0.767174027796347,-5.559304685674537,-5377.6320844998845,8,13,-0.5567741062215255,-6080.242404799864,-0.3475873843103232,-3785.327842499863,86,0,-0.24765001756252622,-2568.661671249857,-0.1966039906628101,-1939.6126530998724,-1.12725490878471,0.2707218583915888
BR10_I10,rt,2021,82,-0.3661436586421969,-0.440459443390427,39.02439024390244,-3467.4241879498863,0.523761688450344,0.5484004603012311,-5.552225427361832,-4204.685117399894,11,14,-0.5680052216439678,-5237.97919269989,-0.46613525384171584,-4485.839875899878,82,0,-0.3661436586421969,-3467.4241879498863,-0.3627547824372496,-3447.454377849872,-0.6532550870378735,-0.1654037318845221
BR10_I10,rt,2022,79,-0.260126365455287,-0.3087876068375742,39.24050632911392,-1806.8196822999128,0.6535233981463594,0.6771002271381031,-4.524291825285871,-2298.99202099996,11,17,-0.5341830799566633,-3629.0304521499143,-0.3600536773850455,-2577.194164599921,79,0,-0.260126365455287,-1806.8196822999128,-0.2542479631754123,-1776.8649671499188,-0.6456821024384642,-0.00497126661748444
