scale,segment,label,start,end,start_confirm,end_confirm,start_i,end_i,efficiency,n,overnight_log_pct,intraday_log_pct,total_log_pct,linked_overnight_pct,linked_intraday_pct,linked_total_pct,raw_overnight_log_pct,action_adjustment_log_pct,gross_rt_cash,rt_cash,rt_mean_pct,pt_cash,pt_mean_pct,cost_cash
0.12,37,D,2025-02-19,2025-04-08,2025-03-26,2025-04-10,1623,1656,0.6495706328879218,33,-25.781621562494085,-15.109717176213975,-40.89133873870803,-22.72627639125088,-14.023585019748447,-33.56282271944922,-25.781621562494085,0.0,2929.9999999999936,1552.8668146500636,0.24353486888521544,-4305.668947149906,-0.6429716113249451,1377.1331853499305
0.12,38,U,2025-04-08,2025-09-05,2025-04-10,2025-09-09,1656,1760,0.4800880856822,104,18.440593965376824,112.0361960928971,130.47679005827402,20.25038680350479,206.5963761563844,268.68332825358107,16.498785379666675,-1.9418085857101512,-38529.99999999996,-43900.97923298566,-1.3374764196310325,33139.773865486306,0.9454785136743212,5370.979232985684
0.12,39,R,2025-09-05,2025-09-09,2025-09-09,2025-09-11,1760,1762,0.9999999999999983,2,-3.4625171473594634,-10.016081402092858,-13.478598549452325,-3.4032579446638644,-9.530808080808079,-12.609708042271182,-3.4625171473594634,0.0,5210.000000000001,5024.6389427670165,4.694037914398879,-5392.758117266991,-5.043428026330673,185.36105723298442
0.12,40,U,2025-09-09,2025-09-23,2025-09-11,2025-10-14,1762,1772,0.8395039181642122,10,10.243192560049241,27.088991339392642,37.33218389944188,10.78618823103862,31.113072450788003,45.25517524082804,10.243192560049241,0.0,-15839.999999999995,-16944.87703006794,-2.9976502374870697,14727.209233068084,2.634496657277946,1104.8770300679416
0.12,41,D,2025-09-23,2025-10-14,2025-10-14,2025-10-21,1772,1781,0.5786776317021084,9,-9.800869285249956,-7.317154729867556,-17.118024015117506,-9.335897757701263,-7.055862680785918,-15.733032312685202,-9.800869285249956,0.0,4679.999999999985,3613.543202736054,0.5662143416746444,-5744.118647735954,-0.9229907604451696,1066.456797263932
0.12,42,U,2025-10-14,2025-10-29,2025-10-21,2025-11-11,1781,1792,0.5600803970181075,11,7.050797443701201,23.1802018419048,30.230999285606025,7.305312639116139,26.087007506488508,35.29805760214336,7.050797443701201,0.0,-16099.999999999989,-17408.88106496992,-2.3765578516227266,14783.075300970058,2.014515651019913,1308.8810649699308
0.12,43,D,2025-10-29,2025-11-24,2025-11-11,2025-12-08,1792,1810,0.6188794452915596,18,-19.75441763139928,-17.015310143924278,-36.76972777532358,-17.925611761260306,-15.646433981400728,-30.76732673267325,-19.75441763139928,0.0,11010.000000000011,8776.806305427173,0.6799524615296659,-13237.69304792685,-1.036525357877843,2233.193694572841
0.12,44,U,2025-11-24,2025-12-09,2025-12-08,2025-12-15,1810,1821,0.8010793052666211,11,-0.8663000440246741,20.37439482048018,19.508094776455454,-0.8625584773864668,22.59841978087388,21.54093671791204,-0.8663000440246741,0.0,-12489.99999999998,-13680.559079522896,-2.0805055778214734,11293.200859023043,1.7189931316754778,1190.559079522916
0.12,45,D,2025-12-09,2025-12-18,2025-12-15,2025-12-25,1821,1828,0.6453255929804228,7,-12.656722364791504,-2.7534430563448975,-15.41016542113641,-11.888508420628856,-2.7158813493384377,-14.281511987056913,-12.656722364791504,0.0,1830.0000000000193,1063.1068870410813,0.18887241045429123,-2595.978836540984,-0.5463240429877064,766.8931129589376
0.12,46,U,2025-12-18,2025-12-25,2025-12-25,2026-01-29,1828,1833,0.9999999999999983,5,5.913831816457658,7.610745855891047,13.524577672348737,6.092197537228503,7.907852415041916,14.481811942347303,5.913831816457658,0.0,-4839.999999999982,-5396.0459278679355,-1.7284832359825768,4281.535985868028,1.367600696852986,556.0459278679535
0.12,47,D,2025-12-25,2026-03-23,2026-01-29,2026-04-01,1833,1887,0.29891089610847993,54,-18.641951414315447,-14.580917026064382,-33.222868440379784,-17.0074643483262,-13.567737409051608,-28.267673654658804,-19.186282655247364,-0.544331240931915,8349.999999999978,2799.5816295453387,0.06855497570583112,-13896.24667204464,-0.4262219036547218,5550.418370454639
0.12,48,U,2026-03-23,2026-06-03,2026-04-01,2026-06-08,1887,1935,0.40231953998030295,48,18.38203161509725,34.8413170793338,53.22334869443108,20.179985966976645,41.68175164414272,70.27310924369749,18.38203161509725,0.0,-20820.000000000044,-26198.624856113747,-0.9687178270583464,15430.973376114272,0.609194808348377,5378.6248561137045
0.12,49,D,2026-06-03,2026-06-11,2026-06-08,2026-06-18,1935,1941,0.566609302528734,6,-10.533747589212261,-4.811429133242611,-15.345176722454859,-9.997926397199098,-4.697514162807867,-14.225786551511419,-10.533747589212261,0.0,3719.999999999998,2930.6199484440617,0.5862377429663178,-4507.521522443953,-0.942978331962793,789.3800515559371
0.12,50,U,2026-06-11,2026-06-22,2026-06-18,2026-07-02,1941,1947,0.8585165858636742,6,2.769756930738939,9.861566002985384,12.63132293372432,2.8084713028324844,10.364204428462227,13.463751438434961,2.769756930738939,0.0,-7439.999999999997,-8230.119641387984,-1.8940449375075594,6646.163300388017,1.5328661430979762,790.1196413879862
0.12,51,D,2026-06-22,2026-07-30,2026-07-02,2026-08-04,1947,1975,0.3559261496362966,28,-11.350982537345102,-26.914441775319,-38.26542431266417,-10.730457469783621,-23.59670922356085,-31.795131845841816,-11.350982537345102,0.0,17630.0,14363.222838201198,0.7034579134059141,-20887.969132700775,-1.0599887492161657,3266.777161798802
