id,scope,source_direction,opposite_direction,n,source_mean_pct,source_cash,opposite_mean_pct,opposite_cash,large_loss,status,start,end
C__pair_decelerate_upper_ge03,primary_bounded_scan,rt,pt,21,-0.7037535371123537,-4958.890090175914,0.3166892401550414,1739.4359676760987,True,research_candidate_only,2024-01-02,2026-08-31
C__pair_r5negative_volume_lt08,primary_bounded_scan,rt,pt,8,-0.13476697015753203,376.28812213904916,-0.2620791621327078,-1303.2922411389552,False,research_candidate_only,2025-05-06,2026-08-24
stage_ALL,primary_baseline,rt,pt,654,-0.6024282179441639,-133261.92975551414,0.21989924785540438,40694.60562051965,True,research_candidate_only,2024-01-02,2026-09-11
stage_U,primary_baseline,rt,pt,216,-0.8458519423633717,-57713.907255596045,0.47049547780654605,24825.471277597873,True,research_candidate_only,2024-02-21,2026-06-26
stage_R,primary_baseline,rt,pt,152,-0.633419548223537,-39050.61032041935,0.25225243044629747,17895.160144420603,True,research_candidate_only,2024-01-30,2026-09-04
stage_D,primary_baseline,rt,pt,166,-0.4904196864560082,-24677.01357294536,0.09903364820113696,3635.911459946618,False,research_candidate_only,2024-01-03,2026-09-07
stage_C,primary_baseline,rt,pt,120,-0.2799549641943322,-11820.398606553375,-0.10495725115004555,-5661.9372614454505,False,research_candidate_only,2024-01-02,2026-09-11
stage_ALL,old_main_baseline,rt,pt,598,-0.6519638851822182,-133473.4250213345,0.2671304940485217,53679.81296433922,True,research_candidate_only,2024-01-02,2026-06-25
stage_U,old_main_baseline,rt,pt,215,-0.8786158683557967,-62362.70136510204,0.5031261096754509,29734.289058103874,True,research_candidate_only,2024-02-21,2026-06-25
stage_R,old_main_baseline,rt,pt,131,-0.7080514011813885,-37911.395327929466,0.32318489263386213,21633.72565093044,True,research_candidate_only,2024-01-30,2026-06-18
stage_D,old_main_baseline,rt,pt,151,-0.4474355063836288,-16591.70591412247,0.05287616355606018,-1255.5384473764739,False,research_candidate_only,2024-01-03,2026-04-01
stage_C,old_main_baseline,rt,pt,101,-0.4025197685522801,-16607.622414180503,0.012380200285079152,3567.336702681399,False,research_candidate_only,2024-01-02,2026-04-22
stage_ALL,viewed_tail_baseline,rt,pt,56,-0.07345805708065521,211.49526582035924,-0.28446298827824157,-12985.207343819597,False,research_candidate_only,2026-06-26,2026-09-11
stage_R,viewed_tail_baseline,rt,pt,21,-0.1678589416769392,-1139.2149924898815,-0.19023102415232018,-3738.5655065098395,False,research_candidate_only,2026-06-29,2026-09-04
stage_D,viewed_tail_baseline,rt,pt,15,-0.9231270991846273,-8085.3076588228905,0.5636856602949099,4891.449907323088,True,research_candidate_only,2026-07-17,2026-09-07
stage_ALL,2023_baseline,rt,pt,242,-0.6182521404498512,-22493.235640399576,0.11818150894383313,2652.9214104005023,True,research_candidate_only,2023-01-03,2023-12-29
stage_U,2023_baseline,rt,pt,86,-0.9676335646724474,-12490.865723449839,0.4284769747216058,4880.448708450185,True,research_candidate_only,2023-01-10,2023-08-09
stage_R,2023_baseline,rt,pt,77,-0.7424725518356194,-9702.296459699879,0.21058096562468367,3170.797059700156,True,research_candidate_only,2023-01-03,2023-12-05
stage_D,2023_baseline,rt,pt,57,-0.4508038648544787,-3506.663242299885,0.02367750196831943,-587.3578801998746,False,research_candidate_only,2023-08-24,2023-12-28
RT_UR_VOL_stage,2023_candidate,rt,pt,26,-1.74546788230781,-6447.90722509996,1.1786279331965097,4586.765495100033,True,research_candidate_only,2023-01-31,2023-11-28
