gap,mode,event,start,end,sum_net,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
5,1000_S2,6,2024-01-18,2024-01-18,4.289014148753826,1,4.289014148753826,4.289014148753826,100.0,588.5381856000014,,,4.289014148753826,4.289014148753826,0.0,0,1,1,1,17.4418144,4.522246535375629,,,,,0,1,,
5,1000_S2,7,2024-04-11,2024-04-11,6.236866783277787,1,6.236866783277787,6.236866783277787,100.0,1326.3219618500025,,,6.236866783277787,6.236866783277787,0.0,0,1,1,1,21.743038150000004,6.447058823529406,,,,,0,1,,
5,1000_S2,8,2024-04-23,2024-04-23,4.5023360253030695,1,4.5023360253030695,4.5023360253030695,100.0,927.7288948500028,,,4.5023360253030695,4.5023360253030695,0.0,0,1,1,1,21.19610515,4.711024769305472,,,,,0,1,,
5,1000_S2,9,2024-07-31,2024-08-16,5.763475103614401,11,0.5239522821467637,0.3800977456945471,63.63636363636363,1231.3006286500329,1.7858194063750092,1.8043148640857651,-2.1854350439441013,-2.1854350439441013,-891.811004049993,2,2,1,1,230.82437135000004,0.7245002497673144,0.13997614876677386,-1.136960384388183,-2.1854350439441013,-1424.4343481999836,3,5,2.1608891926063407,0.3800977456945471
5,1000_S2,10,2024-08-30,2024-08-30,-2.151310339207092,1,-2.151310339207092,-2.151310339207092,0.0,-440.7053845000004,0.0,0.0,-2.151310339207092,-2.151310339207092,-440.7053845000004,1,1,1,1,20.4353845,-1.9540791402051672,,,,,1,0,,
5,1000_S2,11,2024-12-10,2024-12-10,-0.3322621595516016,1,-0.3322621595516016,-0.3322621595516016,0.0,-73.61697265000001,0.0,0.0,-0.3322621595516016,-0.3322621595516016,-73.61697265000001,1,1,1,1,21.49197265,-0.1355013550135564,,,,,0,0,,
5,1000_S2,12,2025-04-09,2025-04-18,9.271741059921208,3,3.0905803533070695,-0.1519119026463352,33.33333333333333,1510.4162356000086,23.207043273491216,21.653722615721296,-0.2656016287920884,-0.2656016287920884,-73.13045999999554,2,1,1,2,57.483764400000005,3.3069718576283567,-0.20875676571921178,,,,0,1,,
5,1000_S2,13,2025-11-25,2025-12-05,-1.2415812195598837,8,-0.15519765244498546,-1.9742240959565598,37.5,-782.5816356839525,0.8838787233440981,0.8781336432680614,-2.4712443687321075,-2.4712443687321075,-3612.6560791889665,2,2,1,1,380.85163568400003,0.023784406691443355,-1.071347376957913,-2.247886569561023,,-4027.4956927169846,5,2,3.150175560345435,
5,1000_S2,14,2026-07-03,2026-07-06,0.2683054861155727,2,0.13415274305778635,0.13415274305778635,50.0,159.80794935300264,1.2778814684666808,1.2555698791686691,-0.9655393272392456,-0.9655393272392456,-625.3004065769965,1,1,1,1,101.68705064699998,0.3136534924853607,-0.9655393272392456,,,,0,1,,
5,1000_S2,15,2026-07-20,2026-07-30,8.178953866741233,7,1.1684219809630334,0.7868595444341261,57.14285714285714,4534.689613356042,2.454087540058527,2.332312999601004,-3.084037157135793,-3.084037157135793,-2331.573078626985,1,1,1,1,329.800386644,1.3497767641865548,0.29519795019657963,-2.6080926431409566,,-3172.6046176919863,2,3,5.810946675524685,
5,1000_S2_WORSTBAR,1,2023-05-08,2023-05-24,23.888880600308177,8,2.986110075038522,2.615482744492321,62.5,3565.0798494500123,9.535486544698154,9.513244130256002,-2.049383423114986,-2.049383423114986,-310.12727634999874,2,1,1,1,204.60515055000002,3.26313422274795,2.0278701756367257,-0.9329239942448208,,-418.768661499997,1,5,7.1522290313526655,
5,1000_S2_WORSTBAR,2,2023-08-14,2023-08-14,2.735426656425199,1,2.735426656425199,2.735426656425199,100.0,585.8166232000025,,,2.735426656425199,2.735426656425199,0.0,0,1,1,1,32.4633768,2.9906542056074903,,,,,0,1,,
5,1000_S2_WORSTBAR,3,2023-09-20,2023-09-22,-0.26193308192529546,2,-0.13096654096264773,-0.13096654096264773,50.0,-58.28740989999493,0.5985868125174111,0.5523685217641128,-0.6525273461192819,-0.6525273461192819,-130.2129379499968,1,1,1,1,39.937409900000006,0.07323601238498623,-0.6525273461192819,,,,0,0,,
