candidate,date,clock,five_ref,one_ref,difference,covered
C01,2025-11-26,09:40,55.7,,,False
C01,2025-11-28,09:40,60.15,,,False
C01,2025-12-16,09:40,59.9,,,False
C01,2026-01-05,09:40,63.67,,,False
C01,2026-01-14,09:40,59.88,,,False
C01,2026-01-29,09:40,59.61,,,False
C01,2026-02-03,09:40,56.13,,,False
C01,2026-02-10,09:40,56.82,,,False
C01,2026-03-04,09:40,53.93,,,False
C01,2026-03-05,09:40,54.81,,,False
C01,2026-03-18,09:40,51.22,,,False
C01,2026-03-23,09:40,48.76,,,False
C01,2026-06-29,09:40,69.48,69.4800033569336,-3.3569335897709607e-06,True
C01,2026-07-02,09:40,65.85,65.8499984741211,1.5258789005656581e-06,True
C01,2026-07-16,09:40,63.04,63.040000915527344,-9.155273446026513e-07,True
C01,2026-07-31,09:40,56.85,56.84999847412109,1.5258789147765128e-06,True
C01,2026-08-14,09:40,65.53,65.52999877929688,1.2207031261368684e-06,True
C01,2026-09-07,09:40,65.78,65.77999877929688,1.2207031261368684e-06,True
C02,2020-03-02,09:40,17.17,,,False
C02,2020-03-04,09:30,17.23,,,False
C02,2020-03-17,09:45,14.15,,,False
C02,2020-03-19,09:55,13.52,,,False
C02,2020-03-24,09:40,12.81,,,False
C02,2020-05-15,10:25,13.62,,,False
C02,2020-07-17,09:45,15.02,,,False
C02,2020-07-27,09:50,14.1,,,False
C02,2021-01-29,10:30,14.14,,,False
C02,2021-02-03,09:40,13.57,,,False
C02,2021-02-04,09:30,13.2,,,False
C02,2021-05-06,09:30,13.61,,,False
C02,2021-05-10,10:30,13.54,,,False
C02,2021-05-25,09:40,12.46,,,False
C02,2021-07-19,10:05,11.42,,,False
C02,2021-07-29,10:20,11.1,,,False
C02,2021-08-31,10:15,11.42,,,False
C02,2021-11-29,09:30,11.09,,,False
C02,2021-11-30,09:55,11.05,,,False
C02,2022-03-09,10:30,10.6,,,False
C02,2022-03-11,09:30,10.23,,,False
C02,2022-03-16,09:50,9.71,,,False
C02,2022-04-26,10:25,9.24,,,False
C02,2022-09-20,10:10,8.81,,,False
C02,2022-09-21,09:40,8.61,,,False
C02,2022-10-11,10:30,8.2,,,False
C02,2023-04-28,09:40,16.65,,,False
C02,2023-05-24,09:30,15.14,,,False
C02,2023-06-27,09:55,23.25,,,False
C02,2023-07-13,09:40,23.05,,,False
C02,2023-07-20,09:30,24.9,,,False
C02,2023-07-21,09:30,23.04,,,False
C02,2023-08-10,09:30,21.99,,,False
C02,2023-08-14,09:30,21.09,,,False
C02,2023-08-21,09:45,20.46,,,False
C02,2023-08-28,09:40,20.7,,,False
C02,2023-09-06,09:30,20.08,,,False
C02,2023-09-08,09:30,19.01,,,False
C02,2023-09-15,09:50,18.54,,,False
C02,2023-09-18,09:40,18.46,,,False
C02,2023-10-16,09:40,17.69,,,False
C02,2023-10-17,09:55,17.32,,,False
C02,2023-10-18,09:30,16.6,,,False
C02,2023-10-20,09:45,16.4,,,False
C02,2023-10-23,09:30,14.55,,,False
C02,2023-10-26,09:30,13.4,,,False
C02,2023-11-23,09:45,15.49,,,False
C02,2023-11-28,09:30,14.77,,,False
C02,2023-12-06,09:45,14.34,,,False
C02,2023-12-14,09:40,15.4,,,False
C02,2023-12-25,09:30,14.2,,,False
C02,2023-12-27,09:40,14.07,,,False
C02,2024-01-04,09:30,13.78,,,False
C02,2024-01-08,09:40,13.27,,,False
C02,2024-01-09,09:40,13.48,,,False
C02,2024-01-30,09:40,13.64,,,False
C02,2024-01-31,09:30,13.3,,,False
C02,2024-03-26,09:40,24.12,,,False
C02,2024-03-28,09:45,22.66,,,False
C02,2024-05-27,09:40,24.92,,,False
C02,2024-05-29,09:40,24.48,,,False
C02,2024-06-03,09:40,23.39,,,False
C02,2024-06-13,09:40,24.98,,,False
C02,2024-07-15,09:40,27.05,,,False
C02,2024-07-18,09:30,24.82,,,False
C02,2024-07-22,09:30,24.49,,,False
C02,2024-08-06,09:40,20.76,,,False
C02,2024-08-08,09:30,20.0,,,False
C02,2024-09-09,09:30,18.13,,,False
C02,2024-10-16,09:30,23.61,,,False
C02,2024-10-18,09:40,24.95,,,False
C02,2024-11-04,09:40,24.25,,,False
C02,2024-11-15,10:05,24.84,,,False
C02,2024-11-18,09:40,23.42,,,False
C02,2024-11-19,09:40,23.47,,,False
C02,2025-01-02,09:40,21.2,,,False
C02,2025-01-03,10:20,20.94,,,False
C02,2025-01-06,09:40,20.82,,,False
C02,2025-01-13,09:30,19.48,,,False
C02,2025-02-05,09:30,20.56,,,False
C02,2025-02-06,09:40,20.23,,,False
C02,2025-03-03,09:40,21.0,,,False
C02,2025-03-24,10:30,20.67,,,False
C02,2025-04-07,09:30,17.15,,,False
C02,2025-09-29,09:40,66.86,,,False
C02,2025-10-15,09:40,58.72,,,False
C02,2025-11-12,09:30,66.45,,,False
C02,2025-11-17,09:40,65.56,,,False
C02,2025-11-25,09:40,56.76,,,False
C02,2025-11-26,09:30,55.31,,,False
C02,2025-12-16,09:40,59.9,,,False
C02,2026-02-03,10:10,54.7,,,False
C02,2026-03-04,09:30,53.98,,,False
C02,2026-03-20,09:40,51.44,,,False
C02,2026-03-24,09:40,47.84,,,False
C02,2026-05-06,09:55,63.7,63.70000076293945,-7.629394502828291e-07,True
C02,2026-05-22,09:45,65.2,65.19999694824219,3.051757815342171e-06,True
C02,2026-06-08,09:30,69.99,69.98999786376953,2.1362304636340923e-06,True
C02,2026-06-15,09:40,71.47,71.47000122070312,-1.2207031261368684e-06,True
C02,2026-06-29,09:30,69.3,69.30000305175781,-3.051757815342171e-06,True
C02,2026-07-03,09:30,63.5,63.5,0.0,True
C02,2026-07-14,09:40,62.39,62.38999938964844,6.103515630684342e-07,True
C02,2026-07-20,09:40,59.22,59.220001220703125,-1.2207031261368684e-06,True
C02,2026-07-29,09:45,57.76,57.7599983215332,1.6784667948854803e-06,True
C02,2026-07-31,09:40,56.85,56.84999847412109,1.5258789147765128e-06,True
C02,2026-08-14,10:00,65.1,65.0999984741211,1.5258789005656581e-06,True
C03,2020-03-02,09:40,17.17,,,False
C03,2020-03-04,09:30,17.23,,,False
C03,2020-03-10,09:30,15.98,,,False
C03,2020-03-12,09:30,16.25,,,False
C03,2020-03-17,09:45,14.15,,,False
C03,2020-03-19,09:55,13.52,,,False
C03,2020-03-24,09:40,12.81,,,False
C03,2020-06-16,09:40,13.83,,,False
C03,2020-07-27,09:50,14.1,,,False
C03,2020-09-01,10:05,14.67,,,False
C03,2021-02-03,09:40,13.57,,,False
C03,2021-02-04,09:30,13.2,,,False
C03,2021-02-08,10:30,13.3,,,False
C03,2021-05-10,10:30,13.54,,,False
C03,2021-07-05,10:30,12.0,,,False
C03,2021-07-19,10:05,11.42,,,False
C03,2021-07-30,09:40,10.83,,,False
C03,2021-08-30,09:55,11.63,,,False
C03,2021-08-31,10:15,11.42,,,False
C03,2021-09-17,09:50,11.68,,,False
C03,2021-10-18,09:45,11.65,,,False
C03,2021-10-29,10:25,11.29,,,False
