id,window,losing_direction,n,losing_mean,opposite_mean,opposite_cash,large
ALL__overnight_minus_intraday5__high,2025,rt,38,-1.2351560832144723,0.8459083934035337,20675.707626882155,True
ALL__overnight_minus_intraday5__high,2026,rt,53,-0.5995373603016895,0.2406749512709617,7328.4934309563705,True
ALL__overnight_minus_intraday5__high,original_PT_window,rt,197,-0.6793453970690573,0.2618685353656473,27764.80509323874,True
ALL__volume_ratio__low,primary,rt,127,-0.7299771724145887,0.34662214849090345,18318.75298295551,True
ALL__volume_ratio__low,2023,rt,47,-1.154938596579427,0.6791996060313796,5484.798417200103,True
ALL__volume_ratio__low,2021_2022,rt,94,-0.11935670664173886,-0.46922393216141856,-5070.689265149883,False
ALL__volume_ratio__low,2021_2022,pt,94,-0.46922393216141856,-0.11935670664173886,-1012.7182298498768,False
ALL__volume_ratio__low,2024,rt,43,-0.4921194763546166,0.10031663761461597,1095.635330250111,False
ALL__volume_ratio__low,2025,rt,44,-0.9664784513446332,0.5693181762662228,9094.138901869132,True
ALL__volume_ratio__low,2026,rt,40,-0.7255227888560092,0.3664349421300615,8128.97875083627,True
ALL__volume_ratio__low,original_PT_window,rt,172,-0.8447368150882959,0.4358576912779853,23212.1767015416,True
ALL__volume_ratio__high,primary,rt,124,-0.003823232240737089,-0.382021093463458,-19015.689116332516,False
ALL__volume_ratio__high,primary,pt,124,-0.382021093463458,-0.003823232240737089,2878.839243833555,False
ALL__volume_ratio__high,2023,rt,47,-1.0748484793417716,0.5389741496997869,2756.6575977000916,True
ALL__volume_ratio__high,2021_2022,rt,107,-0.33692384645176626,-0.24960309827574917,-3163.8002032498753,False
ALL__volume_ratio__high,2021_2022,pt,107,-0.24960309827574917,-0.33692384645176626,-3863.450381749861,False
ALL__volume_ratio__high,2024,pt,54,-0.8038310278299006,0.4042026010194642,5522.2435392001335,True
ALL__volume_ratio__high,2025,rt,43,-0.7833178740243737,0.3966944227318857,6700.804977255174,True
ALL__volume_ratio__high,2026,pt,27,-0.7785777875601947,0.4215424937090966,9311.129324388185,True
ALL__volume_ratio__high,original_PT_window,rt,170,-0.3126604210046084,-0.11485055506909549,-14592.092923447432,False
ALL__volume_ratio__high,original_PT_window,pt,170,-0.11485055506909549,-0.3126604210046084,-4872.26248655136,False
ALL__volume_trend__low,primary,rt,132,-0.5727868251606834,0.18802940525495285,10176.076965640488,True
ALL__volume_trend__low,2023,rt,45,-1.0903958490262977,0.6100295901204882,4291.181355600108,True
ALL__volume_trend__low,2021_2022,rt,87,-0.24063735061294042,-0.3497057284134503,-3244.4696872498994,False
ALL__volume_trend__low,2021_2022,pt,87,-0.3497057284134503,-0.24063735061294042,-2344.9194577498947,False
ALL__volume_trend__low,2024,rt,57,-0.6940275001981139,0.30398523809055006,3881.0345800501486,True
ALL__volume_trend__low,2025,rt,41,-0.3349473009075471,-0.06385252664648602,-157.39225880886693,False
ALL__volume_trend__low,2025,pt,41,-0.06385252664648602,-0.3349473009075471,-4016.427940690841,False
ALL__volume_trend__low,2026,rt,34,-0.6563368844914205,0.2973728386764218,6452.434644399205,True
ALL__volume_trend__low,original_PT_window,rt,176,-0.6900290632482876,0.2807058204508859,12615.183653521588,True
ALL__volume_trend__high,primary,rt,128,-0.40366043374366767,0.015147428759023335,-40.202807898502215,False
ALL__volume_trend__high,2023,rt,46,-1.2466683815501194,0.69968326310773,4344.031327350081,True
ALL__volume_trend__high,2021_2022,rt,97,-0.39206724766343715,-0.19275575865124242,-2155.6972347498768,False
ALL__volume_trend__high,2021_2022,pt,97,-0.19275575865124242,-0.39206724766343715,-4254.64777024986,False
ALL__volume_trend__high,2024,rt,60,-0.3526651438396391,-0.04831410896245904,-1732.6730732498509,False
ALL__volume_trend__high,2024,pt,60,-0.04831410896245904,-0.3526651438396391,-3432.2482942498327,False
