id,window,direction,n,mean_pct,median_pct,win_pct,cash,pf_pct,pf_cash,worst_pct,mdd_cash,clusters
ALL__upper_shadow__high,2023,rt,53,-0.9230173964940023,-0.2019183815871048,45.28301886792453,-7530.16878719993,0.3981407087113665,0.4267537464371101,-9.172938979234967,-7786.773403199947,17
ALL__upper_shadow__high,2023,pt,53,0.4205184408193951,-0.3258489773713352,47.16981132075472,3345.048659700092,1.4898955000100549,1.4350787000499194,-4.393797379245275,-2082.7836783499815,17
ALL__upper_shadow__high,2021_2022,rt,111,-0.3333452599560217,-0.3407778976405082,36.93693693693694,-4461.122814149882,0.5490206258849867,0.5335906479924123,-4.332462471166447,-4574.030519999883,32
ALL__upper_shadow__high,2021_2022,pt,111,-0.2532518623099168,-0.202103560020337,45.04504504504504,-2801.952390849863,0.6296935318943184,0.6699233629082071,-5.402578619270829,-4207.886017649898,32
ALL__upper_shadow__high,2024,rt,46,-1.480851464961624,-0.2494043652673224,47.82608695652174,-14304.097796399876,0.26322053714425503,0.2784609892932961,-10.105854526435447,-14304.097796399874,20
ALL__upper_shadow__high,2024,pt,46,1.0828962136980245,-0.1742351825605623,47.82608695652174,10249.765396400111,2.4983154677637827,2.355639495993999,-3.8920381894451896,-1955.3425947499743,20
ALL__upper_shadow__high,2025,rt,50,-0.7246552776012928,-0.721215825540655,40.0,-17030.462169129714,0.5447512490346554,0.5380041134808626,-9.916277761251097,-22525.49295722472,18
ALL__upper_shadow__high,2025,pt,50,0.34489216437179926,0.33670907815681717,52.0,9742.848126630248,1.3329923167165625,1.428909043271766,-7.80341265242462,-6923.522890187975,18
ALL__upper_shadow__high,2026,rt,35,-0.7942438178893264,-0.4967202294285576,40.0,-17311.07758449578,0.47408183973106405,0.4773928951018259,-7.326522662142857,-20792.950766639853,9
ALL__upper_shadow__high,2026,pt,35,0.43503300209801776,0.1380418008571682,54.285714285714285,9642.187745496256,1.4996915066911012,1.505190940795168,-7.313733019285691,-6174.79737734696,9
ALL__upper_shadow__high,original_PT_window,rt,182,-0.9811873188322839,-0.425659550362475,43.40659340659341,-54563.75557989932,0.41054687997940575,0.459018972029943,-10.105854526435447,-57489.05759484336,63
ALL__upper_shadow__high,original_PT_window,pt,182,0.5648198575986745,-0.024103099734702954,50.0,31832.590139900698,1.642861543982398,1.5649481565884373,-7.80341265242462,-9166.365820187864,63
ALL__lower_shadow__low,primary,rt,128,-0.6218244785462776,-0.4383482513023478,44.53125,-16908.242026403525,0.586891219301077,0.7365511709723866,-12.229427049039757,-18501.06676253853,45
ALL__lower_shadow__low,primary,pt,128,0.23640754420639168,0.024193232690323647,50.0,-452.35461309559923,1.2227096501923498,0.9918024630853411,-8.278709473963682,-17279.00243498967,45
ALL__lower_shadow__low,2023,rt,55,-1.0265202053302316,-0.5729939392424757,41.81818181818181,-9244.887592999903,0.42436742518686804,0.42700566039147086,-10.90774674562256,-10324.954435199921,14
ALL__lower_shadow__low,2023,pt,55,0.526855910976684,0.0085427758438926,50.90909090909091,4947.796138000094,1.5385951670438367,1.5570780384773277,-5.25773460895119,-2328.194983249962,14
ALL__lower_shadow__low,2021_2022,rt,92,-0.3718693397128673,-0.44145731569209723,40.21739130434783,-3522.187387949916,0.48412228506086813,0.5107521898857407,-4.789404171033474,-3689.428294499915,30
ALL__lower_shadow__low,2021_2022,pt,92,-0.22208888289616782,-0.1223823047812128,45.65217391304348,-2342.777087049881,0.6422394875100819,0.6352257954668917,-4.543328205949629,-2853.5739551998854,30
ALL__lower_shadow__low,2024,rt,55,-0.7635936015525716,0.1362587465020792,52.72727272727272,-7391.76152744984,0.5322429276996586,0.6057120163395421,-8.827690427622347,-10344.951826199936,14
ALL__lower_shadow__low,2024,pt,55,0.36467068017632676,-0.5220129440329153,43.63636363636363,2585.744769950101,1.3384014592612228,1.1849367223591283,-5.291886553578331,-6372.683663699953,14
ALL__lower_shadow__low,2025,rt,51,-0.5082719239784744,-0.5628358847535718,37.254901960784316,-3977.504039672807,0.6417580897928324,0.8522099263453584,-12.229427049039757,-8680.18621435994,18
ALL__lower_shadow__low,2025,pt,51,0.1259121927078396,0.1556703688398574,54.90196078431373,-3557.6091218268316,1.1180733763014337,0.8632394023427027,-8.278709473963682,-10639.046520827967,18
ALL__lower_shadow__low,2026,rt,22,-0.5306371384377223,-0.7103719231113621,40.909090909090914,-5538.976459280875,0.617570646804473,0.7009200077428502,-11.91543918827798,-11951.846284329,13
ALL__lower_shadow__low,2026,pt,22,0.1718980191191062,0.351311187268739,54.54545454545454,519.5097387811315,1.170216321496109,1.0342084665127729,-7.467996327810795,-9337.09114681196,13
ALL__lower_shadow__low,original_PT_window,rt,182,-0.7594091032470056,-0.4841673333492368,43.40659340659341,-27585.416637088434,0.524635792320093,0.6565334411469549,-12.229427049039757,-27585.416637088427,58
ALL__lower_shadow__low,original_PT_window,pt,182,0.3392938294174083,0.03906342496720785,50.54945054945055,6162.380120089485,1.3299400315551768,1.0987615893019262,-8.278709473963682,-17279.00243498967,58
ALL__lower_shadow__high,primary,rt,133,-0.38321457576032236,-0.0601616965596156,48.87218045112782,-7954.367396843434,0.7471488882739316,0.8964627280753772,-11.294812295554268,-14918.853312310684,39
ALL__lower_shadow__high,primary,pt,133,0.0031046390206537276,-0.3353222827981645,45.11278195488722,-10953.61322115549,1.0023407938092996,0.8609687324565887,-6.717014494036358,-20397.068305226734,39
ALL__lower_shadow__high,2023,rt,39,-0.7174013756632306,0.0894333247889005,51.28205128205128,-3683.477887599917,0.5937377731854073,0.6840188805546614,-10.291097949299694,-7117.130198149978,21
ALL__lower_shadow__high,2023,pt,39,0.2230281868450795,-0.5135522783473644,43.58974358974359,353.8334776000884,1.171143899578838,1.0363720804048908,-6.35937100979165,-5746.608529099947,21
ALL__lower_shadow__high,2021_2022,rt,95,-0.16585363214417442,-0.2019070341196121,42.10526315789473,-1339.598781149847,0.7107957737467511,0.77980133406971,-3.522645947537471,-2656.1279282998985,28
ALL__lower_shadow__high,2021_2022,pt,95,-0.41888980517021823,-0.3703148277169163,33.68421052631579,-4877.829683849878,0.4197573569068588,0.3983819547133963,-6.336124398976109,-5248.970316799882,28
ALL__lower_shadow__high,2024,rt,50,-0.36927605539762787,0.1310134719748944,52.0,-1148.904114399887,0.7374942888681137,0.9184134110502482,-11.124780081111952,-4194.528902899973,13
ALL__lower_shadow__high,2024,pt,50,-0.023295261505356154,-0.5309215456049967,44.0,-3388.34440559988,0.9812459806075179,0.7803758995001487,-6.319063207581208,-8554.544745649899,13
ALL__lower_shadow__high,2025,rt,46,-0.4621350219089345,0.02228329264301545,50.0,-2214.539543593787,0.6947650475471141,0.9120002952513386,-11.294812295554268,-12591.117938669964,16
ALL__lower_shadow__high,2025,pt,46,0.07805419886739935,-0.4001303802281969,43.47826086956522,-3974.095274405855,1.0620103705981325,0.8503793808333706,-6.717014494036358,-14417.276120369945,16
ALL__lower_shadow__high,2026,rt,37,-0.30393310266028356,-0.3195731659275936,43.24324324324324,-4590.923738849764,0.8174106971982809,0.8778320721371526,-10.70066262246178,-12261.4212673619,10
ALL__lower_shadow__high,2026,pt,37,-0.05440035359150312,-0.0387882765751092,48.64864864864865,-3591.1735411497534,0.9643064660514542,0.9024036238540435,-6.545090374008001,-13829.09449425292,10
ALL__lower_shadow__high,original_PT_window,rt,172,-0.45898948969179576,-0.0352655176194311,49.41860465116279,-11637.845284443356,0.7080822013877716,0.868474248687598,-11.294812295554268,-18139.315694910496,60
ALL__lower_shadow__high,original_PT_window,pt,172,0.052971024864564294,-0.36147791073869695,44.76744186046512,-10599.779743555406,1.0400971178652552,0.8802466258686915,-6.717014494036358,-20397.068305226734,60
ALL__clv3__low,primary,rt,111,-0.8906691871573895,-0.6386820291891546,37.83783783783784,-39409.32936687052,0.4344203599455782,0.4277983175219048,-12.229427049039757,-40582.10830062055,40
ALL__clv3__low,primary,pt,111,0.5056245273154037,0.2640140750088834,54.95495495495496,23494.952228871447,1.5992406162376058,1.6640874651222655,-8.464638457150821,-6657.151604966963,40
ALL__clv3__low,2023,rt,61,-0.6331495822450043,-0.2019183815871048,44.26229508196721,-5121.438424049905,0.5240001158836877,0.6052114526595783,-10.291097949299694,-5429.134144149927,20
ALL__clv3__low,2023,pt,61,0.13860869274155607,-0.2790563893833347,44.26229508196721,496.1727990501362,1.1470212706867928,1.0485194179370498,-6.858613988955812,-2515.485858949924,20
ALL__clv3__low,2021_2022,rt,97,-0.3445046894922183,-0.201906815834026,43.29896907216495,-3597.9138923498963,0.5868111702852103,0.5964258338242615,-4.789404171033474,-4095.780075899902,27
ALL__clv3__low,2021_2022,pt,97,-0.24558921170149503,-0.3711701951735534,40.20618556701031,-2658.3836526498994,0.6897827195610975,0.6890048456233143,-5.402578619270829,-3172.3341390499236,27
ALL__clv3__low,2024,rt,38,-0.8197287962750374,-0.003007657920657051,50.0,-6167.659600349889,0.49321227547652835,0.5217226260632498,-11.124780081111952,-7340.4385340999115,15
ALL__clv3__low,2024,pt,38,0.4149589304615589,-0.38701986140858724,44.73684210526316,2970.0565878500524,1.4102719953904994,1.3534721096925175,-4.298447592212251,-3124.765001299994,15
ALL__clv3__low,2025,rt,37,-1.1071267375863982,-0.6386820291891546,32.432432432432435,-18147.88510823484,0.37025074103305006,0.3280472653363628,-12.229427049039757,-18922.858220234837,14
ALL__clv3__low,2025,pt,37,0.7171156882325038,0.2640140750088834,62.16216216216216,13264.265878735147,1.9096245333677149,2.2881593577266486,-8.464638457150821,-5177.168641916975,14
