id,window,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,ci_low,ci_high,increment,inc_low,inc_high,p_mean,p_inc
ON0,2025,243,-0.3074202467890301,-0.2194279575776029,38.2716049382716,-35924.10603937606,0.6315151451103198,0.5901832450768641,-10.160302220729761,-5.100454796465954,-38072.96040806915,8.0,12.0,1.0,1.0,7790.036039377,-0.11671921131505571,-0.34746590183150994,-0.4461978178956075,-0.5368746183447799,-51765.61375111008,,,,,,,
ON0,2026,168,-0.25919657874431745,-0.20376974525382555,41.66666666666667,-28078.486553949977,0.6839745917177393,0.6751452848307036,-5.664649953627819,-3.6369271571483828,-28078.486553949988,6.0,9.0,1.0,1.0,8269.211553951001,-0.08041016990510942,-0.29678536098710495,-0.4012440615707804,-0.49748369495208794,-42521.837171812,,,,,,,
ON1_F1,all,414,-0.3441418834956147,-0.34128005195942357,29.227053140096622,-43155.13539435092,0.49493145790731174,0.4658455120231269,-10.23087722223011,-3.998278658836213,-45311.23153705593,14.0,100.0,9.0,136.0,11440.050394352002,-0.09643718433361556,-0.36869248169813496,-0.4356533573443681,-0.4851023668362392,-55241.768937861954,,,,,,,
ON1_F1,main2020,341,-0.3481318538180911,-0.33905723859379727,29.61876832844575,-39939.64349125104,0.4859624688038625,0.45185885985346075,-10.23087722223011,-3.890521925271008,-40035.88046325605,14.0,81.0,7.0,105.0,9601.313491252,-0.1059518784609088,-0.377965345076807,-0.4460483278001185,-0.4994101463417149,-51350.165895920065,-0.530688075215905,-0.16183451116167136,-0.02150397692567796,-0.17353057942937677,0.13171715960173344,1.0,0.5912043978010995
ON1_F1,old2020_2023,200,-0.33534709011797803,-0.31219529136180557,27.500000000000004,-10494.027902599715,0.3661500520240392,0.36171729049959733,-10.23087722223011,-2.991281744732878,-11378.063474499744,14.0,48.0,4.0,63.0,4711.5129026,-0.05550008457329508,-0.3630369443530247,-0.4259010053601087,-0.47580554215697407,-13309.315989749717,-0.48947872404635984,-0.1911077369394401,0.013899168222910985,-0.1226447826572377,0.15128262192847586,1.0,0.4287856071964018
ON1_F1,recent2024,141,-0.3662662704139962,-0.4246831245010836,32.62411347517731,-29445.61558865132,0.5872790231199851,0.47812522152119225,-4.537453228723166,-4.126019779565237,-29867.926894306336,11.0,33.0,3.0,42.0,4889.800588652,-0.17751470667028996,-0.4388485664465626,-0.5955184738727569,-0.7198571689502514,-40856.13799332036,-0.7318808666810402,0.0019352590494363768,-0.07321905800336942,-0.3829146080159273,0.2313013260719016,0.9750124937531235,0.672663668165917
ON1_F1,2018,28,-0.07766812921657675,-0.385411310545513,21.428571428571427,253.90556370004555,0.851224071643662,1.1144052005180471,-2.5614890637423424,-2.0315039285030823,-1974.0624144999579,13.0,7.0,1.0,11.0,706.4794363000001,0.1970174466778234,-0.44066107105599434,-0.6336386842979908,-0.7846534193640698,-2214.0716729999635,,,,,,,
ON1_F1,2019,45,-0.4797126666033615,-0.28026663732181895,31.11111111111111,-3469.3974667999314,0.40906507804878245,0.39222294755306764,-5.749514376982678,-4.596017729821268,-3723.1362423999626,9.0,12.0,1.0,20.0,1132.2574668,-0.20693093924279998,-0.5507166610994818,-0.8302953622623882,-1.025854421756771,-5241.55003659994,,,,,,,
ON1_F1,2020,59,-0.4348114077159353,-0.31454116668287535,28.8135593220339,-4641.414993899915,0.3504652306352078,0.30568054797641847,-10.23087722223011,-4.975035786821485,-4703.761839999917,9.0,12.0,1.0,16.0,1517.7599939000002,-0.16459714180419502,-0.4856126796009553,-0.629697097012278,-0.7696144569368559,-5851.114488099921,,,,,,,
ON1_F1,2021,54,-0.31269692698305473,-0.3596546341505326,25.925925925925924,-2169.1437671999124,0.17598247279138582,0.19019724658602766,-1.3505504945998574,-1.2371079938191292,-2169.143767199912,7.0,12.0,1.0,14.0,1258.1637672,-0.0303003621783521,-0.34466785379934534,-0.40428804284258124,-0.4621824316298088,-2595.5386583999193,,,,,,,
