window,kind,rise,pullback,tp,stop,breakout_veto,signals,executed,execution_rate,net_win_rate,avg_net_per_trade,avg_net_per_signal,total_pnl_1000,pf,worst_pnl_1000,max_losing_streak,tp_count,stop_count,ambiguous_bar_count
modern_2024plus,pullback,0.003,0.005,0.015,,,26,15,0.5769230769230769,0.8,0.0022812840176603096,0.0013161253948040246,899.6289880416915,1.3734630252734894,-1915.235071586994,2,5,0,0
modern_2024plus,pullback,0.003,0.005,0.015,,0.02,26,13,0.5,0.8461538461538461,0.00415024951173088,0.00207512475586544,1956.942386955226,4.964241646766356,-276.8092112000003,2,4,0,0
modern_2024plus,pullback,0.005,0.002,,,,26,15,0.5769230769230769,0.7333333333333333,0.0024547222914206995,0.0014161859373580958,593.8380202480505,1.2169629657054448,-2534.525123660989,2,0,0,0
modern_2024plus,pullback,0.005,0.002,,,0.02,26,14,0.5384615384615384,0.7142857142857143,0.0014253773098514579,0.000767510859150785,-500.7363067189658,0.817052410863222,-2534.525123660989,2,0,0,0
modern_2024plus,pullback,0.005,0.002,0.015,,,26,15,0.5769230769230769,0.8,0.0038097259400911823,0.0021979188115910666,876.0628594467013,1.3343652994246884,-2534.525123660989,1,6,0,0
modern_2024plus,pullback,0.005,0.002,0.015,,0.02,26,14,0.5384615384615384,0.7857142857142857,0.003137625500776256,0.001689490654264138,18.14118677324177,1.0069239133721355,-2534.525123660989,1,5,0,0
modern_2024plus,pullback,0.005,0.003,,,,26,15,0.5769230769230769,0.8,0.0024400650833165125,0.0014077298557595265,593.8380202480505,1.2137317976018913,-2534.525123660989,2,0,0,0
modern_2024plus,pullback,0.005,0.003,,,0.02,26,14,0.5384615384615384,0.7857142857142857,0.0014096731583112577,0.0007590547775522156,-500.7363067189658,0.819776997581138,-2534.525123660989,2,0,0,0
modern_2024plus,pullback,0.005,0.003,0.015,,,26,15,0.5769230769230769,0.8666666666666667,0.0037950687319869944,0.0021894627299924967,876.0628594467013,1.3291668381579558,-2534.525123660989,1,6,0,0
modern_2024plus,pullback,0.005,0.003,0.015,,0.02,26,14,0.5384615384615384,0.8571428571428571,0.003121921349236055,0.001681034572665568,18.14118677324177,1.006816265552397,-2534.525123660989,1,5,0,0
modern_2024plus,pullback,0.005,0.004,,,,26,15,0.5769230769230769,0.8,0.0029475912163599055,0.0017005333940537915,1372.9232067860505,1.6866878720346223,-1595.6014963229904,2,0,0,0
modern_2024plus,pullback,0.005,0.004,,,0.02,26,13,0.5,0.8461538461538461,0.0042039660608550085,0.0021019830304275042,1873.9503761420247,5.641483992777866,-276.8092112000003,2,0,0,0
modern_2024plus,pullback,0.005,0.004,0.015,,,26,15,0.5769230769230769,0.8,0.003000953180572132,0.0017313191426377684,1309.1716862556968,1.654801605012856,-1595.6014963229904,2,5,0,0
modern_2024plus,pullback,0.005,0.004,0.015,,0.02,26,13,0.5,0.8461538461538461,0.004546031399783727,0.0022730156998918634,2046.8515099052279,6.0697332436183435,-276.8092112000003,2,4,0,0
modern_2024plus,pullback,0.005,0.005,,,,26,15,0.5769230769230769,0.8,0.0025709330230938836,0.0014832305902464714,1053.2896315220469,1.4542049099440322,-1915.235071586994,2,0,0,0
modern_2024plus,pullback,0.005,0.005,,,0.02,26,13,0.5,0.8461538461538461,0.0042039660608550085,0.0021019830304275042,1873.9503761420247,5.641483992777866,-276.8092112000003,2,0,0,0
modern_2024plus,pullback,0.005,0.005,0.015,,,26,15,0.5769230769230769,0.8,0.00262429498730611,0.0015140163388304478,989.5381109916933,1.426713655141266,-1915.235071586994,2,5,0,0
modern_2024plus,pullback,0.005,0.005,0.015,,0.02,26,13,0.5,0.8461538461538461,0.004546031399783727,0.0022730156998918634,2046.8515099052279,6.0697332436183435,-276.8092112000003,2,4,0,0
modern_2024plus,pullback,0.008,0.002,,,,26,11,0.4230769230769231,0.9090909090909091,0.003572502563051522,0.0015114433920602594,460.72571851104317,1.181779898021113,-2534.525123660989,1,0,0,0
