entry,exit,slip,n,mean,median,win,cash,pf,pf_cash,worst,tail5,mdd_cash,max_loss_run,months,years,clusters,fee,gross,delete1,delete5,delete10,delete5_cash,bad_n,good_n,delete_worst5,delete_both5
C,0935_S1,0.002,61,0.3201995834872528,-0.3092314188584177,45.90163934426229,850.5724390880164,1.4387838788246696,1.0536198284702118,-3.3743498669124476,-2.6070705015396634,-7329.644639099988,5,14,4,16,1720.1675609119998,0.8327977764221289,0.16944948933049472,-0.20886109424287788,-0.46925586877002323,-8981.460947679992,22,22,0.5666233063277334,0.00985312321626451
C,0935_S2,0.001,61,0.619012058913081,0.22823581031567736,52.459016393442624,7246.467880660215,2.113345957057313,1.6099383099785758,-3.1809047346237085,-2.5767073503501035,-3090.4369832339034,4,14,4,16,1723.0821193400002,0.9310983771240099,0.46959306084323527,0.09763971110945838,-0.15281373740168966,-3005.4884447238096,15,24,0.8986165652764649,0.3535414879198776
C,0935_S2,0.002,61,0.41801029122117095,0.027979194797326665,50.81967213114754,3662.989217320006,1.6403407096879588,1.2657101463254403,-3.3743498669124476,-2.771360085783344,-4796.360676467996,5,14,4,16,1722.1107826799998,0.9310983771240099,0.2688903755266447,-0.10231728760414573,-0.3522665908921997,-6169.044169448002,15,23,0.6970593676403329,0.15307703367715822
C,1000_S0,0.001,61,1.0377877605548622,0.27976778450536377,55.73770491803278,12427.823206792182,2.6145476604991362,1.8332481083364216,-4.6474529210559865,-3.612649580431678,-4408.265907161924,3,14,4,16,1726.536793208,1.3511244420342858,0.8953483575123793,0.4432497620587041,-0.04640767400988318,-689.4397258098429,13,25,1.4386343852427046,0.8251070363731824
C,1000_S0,0.002,61,0.8359493918352342,0.0794081786272016,50.81967213114754,8839.158001583983,2.133559367277936,1.5297167208411742,-4.837967881283581,-3.805232321844188,-6112.870452324023,4,14,4,16,1725.5619984159998,1.3511244420342858,0.6937951278176093,0.24260233236181714,-0.24607307714117832,-3855.3138176200205,16,24,1.235998330313551,0.6237004746641437
C,1000_S1,0.001,61,0.859222912193319,-0.4318801981719557,44.26229508196721,8514.427168144193,2.201581471134132,1.5305414191669549,-3.1809047346237085,-2.412088986615558,-6065.535614525921,7,14,4,16,1723.8528318560002,1.1720224677527722,0.7138074283448108,0.24874162366488056,-0.25998523773643456,-4602.835764457832,27,22,1.1363347498816603,0.49317018185909445
C,1000_S1,0.002,61,0.6577412831274881,-0.6308180850189699,42.62295081967213,4929.679276288006,1.7946402644784807,1.2685426561195288,-3.3743498669124476,-2.6070705015396634,-7768.481231051998,7,14,4,16,1722.880723712,1.1720224677527722,0.512616883964734,0.04848278537659361,-0.45922395226220813,-7764.792542915999,28,22,0.9343026577215613,0.2924267949552921
C,1000_S2,0.001,61,1.0134045316411584,0.27976778450536377,54.09836065573771,12397.831970050189,2.5191082723849925,1.8296678736771288,-3.1809047346237085,-2.58902990253023,-4127.437430021959,3,14,4,16,1726.5580299500004,1.3266713228807492,0.8705587414501139,0.4166894591348482,-0.07557192820078383,-719.430962551839,15,25,1.3295698709460335,0.7053499226356612
C,1000_S2,0.002,61,0.8116148707612715,0.0794081786272016,50.81967213114754,8809.196786099985,2.0654052094886546,1.5269749942883635,-3.3743498669124476,-2.7836581074327365,-4986.03388604401,4,14,4,16,1725.5832138999997,1.3266713228807492,0.6690550313924138,0.21609508619196485,-0.275179072935526,-3885.2750331040206,18,24,1.1271130403201617,0.5041401562400298
WF_ENTRY,OPEN,0.001,172,-0.12722437151067673,-0.39680112288553393,31.976744186046513,-4684.71794610559,0.8080712482813479,0.8246840321937002,-3.970485157143914,-3.062501731319126,-7977.404610599818,11,32,5,38,4575.127946105999,0.22352456005684754,-0.18220405004011705,-0.32845652991221397,-0.4294785338522654,-12700.220515953615,43,34,-0.026084676676360007,-0.2304061086447867
