date,clock,missing,reference,cash_before,tax_reserve,receivable,full_cost,cash_gap,scenario
2023-09-11,09:25,100,19.0,1275.236187430236,49.50000000000001,0.0,1906.919019,681.182831569764,S0_open_b10_e0_d0_main
2023-09-12,09:25,100,19.19,1275.236187430236,49.50000000000001,0.0,1925.9382091900002,700.2020217597642,S0_open_b10_e0_d0_main
2023-09-13,09:25,100,19.16,1275.236187430236,49.50000000000001,0.0,1922.9351791599997,697.1989917297637,S0_open_b10_e0_d0_main
2023-09-14,09:25,100,18.98,1275.236187430236,49.50000000000001,0.0,1904.9169989799998,679.1808115497638,S0_open_b10_e0_d0_main
2023-09-15,09:25,100,18.63,1275.236187430236,49.50000000000001,0.0,1869.8816486299997,644.1454611997638,S0_open_b10_e0_d0_main
2023-09-18,09:25,100,18.08,1275.236187430236,49.50000000000001,0.0,1814.8260980799996,589.0899106497636,S0_open_b10_e0_d0_main
2023-09-19,09:25,100,18.32,1275.236187430236,49.50000000000001,0.0,1838.85033832,613.114150889764,S0_open_b10_e0_d0_main
2023-09-20,09:25,100,18.49,1275.236187430236,49.50000000000001,0.0,1855.8675084899994,630.1313210597634,S0_open_b10_e0_d0_main
2023-09-21,09:25,100,18.26,1275.236187430236,49.50000000000001,0.0,1832.84427826,607.108090829764,S0_open_b10_e0_d0_main
2023-09-22,09:25,100,18.3,1275.236187430236,49.50000000000001,0.0,1836.8483182999996,611.1121308697636,S0_open_b10_e0_d0_main
2023-09-25,09:25,100,19.76,1275.236187430236,49.50000000000001,0.0,1982.99577976,757.259592329764,S0_open_b10_e0_d0_main
2023-09-26,09:25,100,19.49,1275.236187430236,49.50000000000001,0.0,1955.9685094899996,730.2323220597636,S0_open_b10_e0_d0_main
2023-09-27,09:25,100,19.6,1275.236187430236,49.50000000000001,0.0,1966.9796196,741.243432169764,S0_open_b10_e0_d0_main
2023-09-28,09:25,100,20.03,1275.236187430236,49.50000000000001,0.0,2010.0230500299997,784.2868625997637,S0_open_b10_e0_d0_main
2023-10-09,09:25,100,19.47,1275.236187430236,0.0,0.0,1953.96648947,678.730302039764,S0_open_b10_e0_d0_main
2023-10-10,09:25,100,19.23,1275.236187430236,0.0,0.0,1929.9422492299998,654.7060617997638,S0_open_b10_e0_d0_main
2023-10-11,09:25,100,19.16,1275.236187430236,0.0,0.0,1922.9351791599997,647.6989917297637,S0_open_b10_e0_d0_main
2023-10-12,09:25,100,19.4,1275.236187430236,0.0,0.0,1946.9594193999997,671.7232319697637,S0_open_b10_e0_d0_main
2023-10-13,09:25,100,18.61,1275.236187430236,0.0,0.0,1867.8796286099998,592.6434411797638,S0_open_b10_e0_d0_main
2023-10-16,09:25,100,17.89,1275.236187430236,0.0,0.0,1795.8069078899998,520.5707204597638,S0_open_b10_e0_d0_main
2023-10-17,09:25,100,17.52,1275.236187430236,0.0,0.0,1758.7695375199996,483.53335008976364,S0_open_b10_e0_d0_main
2023-10-18,09:25,100,16.6,1275.236187430236,0.0,0.0,1666.6766166,391.440429169764,S0_open_b10_e0_d0_main
2023-10-19,09:25,100,16.58,1275.236187430236,0.0,0.0,1664.6745965799996,389.43840914976363,S0_open_b10_e0_d0_main
2023-10-20,09:25,100,16.56,1275.236187430236,0.0,0.0,1662.6725765599995,387.4363891297635,S0_open_b10_e0_d0_main
2023-10-23,09:25,100,14.55,1275.236187430236,0.0,0.0,1461.4695645499999,186.23337711976387,S0_open_b10_e0_d0_main
2023-10-24,09:25,100,13.31,1275.236187430236,0.0,0.0,1337.34432331,62.10813587976395,S0_open_b10_e0_d0_main
2023-10-25,09:25,100,13.82,1275.236187430236,0.0,0.0,1388.3958338199998,113.1596463897638,S0_open_b10_e0_d0_main
2023-10-26,09:25,100,13.4,1275.236187430236,0.0,0.0,1346.3534134,71.11722596976392,S0_open_b10_e0_d0_main
2023-10-27,09:25,100,13.83,1275.236187430236,0.0,0.0,1389.3968438299999,114.16065639976387,S0_open_b10_e0_d0_main
2023-10-30,09:25,100,14.07,1275.236187430236,0.0,0.0,1413.42108407,138.18489663976402,S0_open_b10_e0_d0_main
2023-10-31,09:25,100,14.82,1275.236187430236,0.0,0.0,1488.4968348199998,213.2606473897638,S0_open_b10_e0_d0_main
2023-11-01,09:25,100,14.76,1275.236187430236,0.0,0.0,1482.4907747599998,207.2545873297638,S0_open_b10_e0_d0_main
